Movie Title,tmdb_popularity,imdbRating,Unnamed: 3,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Revenue-Worldwide,Profit,Verdict
Two Is a Family,27.473,7.3,,62.0,,,8.0244,-50.0,17500000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49619118,1.835378171,hit
The White Storm,8.652,6.6,,67.25,1.543,,7.0308,63.30935252,16000000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44670277,1.791892313,hit
A Chinese Odyssey: Part Three,7.286,3.6,,23.5,7.899,,9.337,100.0,20000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53306108,1.6653054,hit
Tolo Tolo,7.967,5.8,,22.0,,,1.3212,24.44444444,20000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52186426,1.6093213,hit
Shubh Mangal Zyada Saavdhan,5.708,5.9,,18.875,0.98,,2.0324,64.18338109,2600000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6574905,1.528809615,hit
Hitman: Agent Jun,8.59,6.3,,18.75,,,7.0552,75.0,7300000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17601351,1.411143973,hit
Murder Party,7.931,5.8,,,2.647,0.994,1.836,,190000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,453590,1.387315789,hit
Da Xiao Jiang Hu,2.147,4.0,,,,,4.2894,,10000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23705022,1.3705022,hit
"Me, Myself and Mum",7.873,6.6,,,2.72,1.25525,7.4532,80.0,10735974.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24991467,1.327824844,hit
Stalingrad,20.022,7.5,,85.125,5.593,2.765,7.0358,11.75115207,30000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68316452,1.277215067,hit
The New Adventures of Aladdin,11.42,4.7,,12.5,1.646,,6.5306,100.0,16000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35771820,1.23573875,hit
The End of Endless Love,0.6,6.6,,30.875,,,3.3644,87.09677419,20000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,43950000,1.1975,hit
The Lady Shogun and Her Men,2.012,6.3,,,1.364,,6.5346,,12800000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27769952,1.1695275,hit
Love Off the Cuff,4.39,6.5,,24.375,0.6,0.6,4.8446,96.73913043,12000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25959989,1.163332417,hit
Boonie Bears: The Wild Life,7.1,5.4,,,,,1.0276,,37500000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77961427,1.078971387,hit
Ala Vaikunthapurramuloo,7.522,7.5,,,1.176,,4.4696,,14000000.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28859072,1.061362286,hit
Tanhaji: The Unsung Warrior,6.181,7.9,,19.125,1.094,1.1075,3.2002,67.94972506,22360000.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45221814,1.022442487,hit
71: Into the Fire,10.882,7.3,,40.75,1.96,,6.5996,-30.71895425,10400000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20967660,1.016121154,hit
Zhongkui: Snow Girl and the Dark Crystal,10.186,5.3,,23.125,,,10.1026,100.0,32000000.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,64325947,1.010185844,hit
Upon the Magic Roads,23.372,5.8,,24.0,,,4.5842,100.0,8020000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15990882,0.993875561,hit
"Crouching Tiger, Hidden Dragon: Sword of Destiny",21.745,6.1,,23.875,5.058,7.2665,23.6442,61.8226601,20000000.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38659039,0.93295195,hit
The New King of Comedy,16.489,6.2,,20.875,24.163,,2.777,92.06349206,50000000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95618308,0.91236616,hit
Vicky and the Treasure of the Gods,5.77,5.5,,12.5,1.482,,3.843,,11000000.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20796153,0.890559364,hit
¡A todo tren! Destino Asturias,73.669,5.2,,,,,2.5832,,5308245.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9544171,0.79798992,hit
Sink or Swim,0.992,7.2,,52.25,2.265,0.8125,,30.14184397,21800000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39193850,0.797883028,hit
Nothing to Lose,15.862,6.7,,,1.176,,14.672,,25000000.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44480039,0.77920156,hit
The Queen's Corgi,26.914,4.8,,57.0,,,1.476,53.48837209,20000000.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35515687,0.77578435,hit
Meppadiyan,1.747,7.6,,17.5,,,2.0556,51.49253731,390000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,691981,0.774310256,hit
Astral City: A Spiritual Journey,8.959,6.4,,,1.313,,2.331,,12000000.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21218935,0.768244583,hit
Bye Bye Morons,11.219,6.7,,,9.81,1.96,5.8672,-53.65853659,9700000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16955173,0.747955979,hit
Adventures in Zambezia,28.971,5.7,,,,,19.1988,100.0,20000000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34428345,0.72141725,hit
Rust and Bone,9.761,7.5,,23.25,,,9.1858,33.60824742,15400000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25807712,0.675825455,hit
Hridayam,2.301,8.5,,18.0,,,3.4666,64.33486239,1040000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1740483,0.673541346,hit
Gone with the Bullets,4.61,5.8,,57.5,,,6.0658,-6.686930091,48800000.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81387479,0.667776209,hit
La vérité si je mens! 3,6.124,5.3,,,0.698,,4.4892,,25496629.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40928635,0.605256718,hit
